Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
26/06/2020,,,1.04131881427707,4.16527525710829,,,,,,612.95623986423,166682.154025248,410.186266624442,12149.5298393517,136.728755541481,151804.478062112,151793.894807914,163010.363149959,162936
27/06/2020,,,1.03928233514822,4.15712934059286,,,,,,861.317175647731,167543.471200896,283.053630165348,12432.5834695171,94.3512100551161,151984.930890405,151953.341827794,163732.174463132,163454
28/06/2020,,,1.0367891107078,4.14715644283122,,,,,,752.854002982033,168296.325203878,308.099773888025,12740.6832434051,102.699924629342,152121.659645946,152095.417250606,164279.089485298,163980
29/06/2020,,,1.03373103448276,4.13492413793103,,,,,,569.512902392136,168865.83810627,283.534540787194,13024.2177841923,94.5115135957312,152216.010856002,152212.961505214,164656.494325519,164260
30/06/2020,1.03,,1.03,4.12,,,,,,392.230183640563,169258.06828991,467.893280223427,13492.1110644157,155.964426741142,152318.710780631,152324.588236217,165067.294024036,164801
01/07/2020,1.04,,1.04,4.16,,,,,,425.912654104855,169683.980944015,459.717179898173,13951.8282443139,153.239059966058,152413.222294227,152442.389639684,165445.340078419,165719
02/07/2020,,,1.04317429938483,4.1726971975393,,,,,,390.797938879386,170074.778882894,645.987881735804,14597.8161260497,215.329293911935,152569.186720968,152585.473058593,166069.197785384,166378
03/07/2020,,,1.04742477405635,4.18969909622541,,,,,,642.573438173506,170717.352321068,564.640502236522,15162.4566282862,188.213500745507,152722.425780934,152749.207875058,166682.154025248,166960
04/07/2020,,,1.05266438824334,4.21065755297334,,,,,,637.474489458799,171354.826810527,427.134676794099,15589.5913050803,142.378225598033,152937.755074846,152926.519315234,167543.471200896,166960
05/07/2020,,,1.05880610617453,4.23522442469811,,,,,,898.503941254447,172253.330751781,294.172637730415,15883.7639428107,98.0575459101383,153125.968575591,153092.84572761,168296.325203878,166960
06/07/2020,,,1.06576289207868,4.26305156831473,,,,,,788.557933970872,173041.888685752,319.434490578635,16203.1984333894,106.478163526212,153268.346801189,153240.841510269,168865.83810627,168335
07/07/2020,,,1.07344771018455,4.29379084073821,,,,,,599.505950993301,173641.394636745,293.098454159532,16496.2968875489,97.6994847198439,153366.404347099,153363.029033265,169258.06828991,168810
08/07/2020,,,1.08177352472089,4.32709409888357,,,,,,415.295713464574,174056.69035021,481.930078630132,16978.226966179,160.643359543377,153472.882510626,153478.688098714,169683.980944015,169473
09/07/2020,,,1.09065329991646,4.36261319966583,,,,,,453.921902011688,174510.612252222,478.105867094106,17456.3328332731,159.368622364702,153570.581995345,153600.617730474,170074.778882894,170094
10/07/2020,1.1,,1.1,4.4,,,,,,419.501152634908,174930.113404857,673.877955940843,18130.210789214,224.625985313614,153731.225354889,153748.902448838,170717.352321068,170752
11/07/2020,,,1.10972658920027,4.43890635680109,,,,,,695.11893310498,175625.232337962,591.418450478159,18721.6292396921,197.13948349272,153890.593977254,153919.113910299,171354.826810527,170752
12/07/2020,,,1.11974603174603,4.47898412698413,,,,,,695.263655540808,176320.495993502,449.629463244979,19171.2587029371,149.876487748326,154115.219962567,154104.047335543,172253.330751781,170752
13/07/2020,,,1.12997129186603,4.51988516746412,,,,,,988.354335379903,177308.850328882,311.471785098438,19482.7304880355,103.823928366146,154312.35944606,154278.222368016,173041.888685752,172377
